,t+30 to t+40,Flowering (t+35 onwards),Active ,"Action: Only if required, apply Urea post-rain. Moisture needed to absorb branching nutrients.","Action: Only if required, apply Urea top-dressing while soil is damp for better uptake.","Action: Only if required, apply Urea after rainfall. Ideal window for maximum nutrient uptake.",Warning: High Leaching Risk. Postpone chemicals. Manage runoff to save nutrients.,TRUE,Critical
,t+40 to t+50,Flowering,Active ,Action: Perform 1st Life-Saving Irrigation. High shedding risk. Apply water to save pods.,Action: Beneficial moisture. Monitor for early pests. Ideal for pod growth.,Action: Ideal for flowering. Conduct intensive pest surveillance (Aphids). Potential for minor drop. Virus control check.,Warning/Action: Severe Flower Drop. Stagnant water is toxic. Drain field within 24 hrs. ,-,Critical
,t+50 to t+60,Pod Development,Active ,Action: Perform 2nd Life-Saving Irrigation. Plants need water to push nutrients to pods.,Observe: Ideal condition for growth. Watch for Girdle Beetle activity.,Observe: Watch for Girdle Beetle. Potential pest outbreak due to high humidity.,Warning: Potential pest outbreak due to high humidity risk. Pod drop risk. Keep water exit points clear.,TRUE,Critical
,t+60 to t+70,Pod Development,Active ,"Action: If dry, pods will be flat. Apply moisture to ensure filling.",Action: Ideal filling. Use last moisture to ensure bold grains.,Action: Ideal filling. Monitor for late-stage pests.,"Warning: Drainage! Standing water causes ""Grain Darkening.""",-,Critical
,t+70 to t+80,Seed Filling Stage,Active ,Action: Perform 3rd Life-Saving Irrigation. Ensure maximum grain weight and market price.,Observe: Ideal for bold grain. Ensure no pests are eating pods.,Observe: Ideal for bold grain. Monitor for diseases due to moisture. Potential Risk of nutrient washout.,"Warning: Nutrient leaching is high. Excess water lowers oil content. High runoff risk, drain fast!",TRUE,Critical
,t+80 to t+90,Seed Filling Stage,Active ,"Action: Final moisture check. If soil is cracking, provide one last light irrigation.",Observe: Beneficial moisture. Monitor for pests.,Observe: Ideal completion. Monitor for pod-shattering.,Warning: High Risk. Standing water causes pods to rot and seeds to sprout.,-,Critical
,t+90 to t+100,Maturity/Harvest ,Active ,Action: Ideal for Drying. Harvest immediately. Dry in sun for 2-3 days.,Action: Delay harvest if pods are damp. Wait for 1 sunny day.,Warning: High pod shattering risk. Harvest with extreme care.,Warning: Risk ofTotal Loss and Sprouting Fungal Rot. Cover heaps immediately.,TRUE,Moderate
,t+100 to t+110,Maturity/Harvest ,Active ,Action: Harvesting should be 50% done. Move grain to dry storage.,Action: Protect harvested stacks. Keep grain under cover for color.,Warning: Wet soil staining risk. Wait for field to dry before cutting.,Warning: Stop All Harvest. Standing water destroys quality.,-,Moderate
,t+110 to t+150,-,,-,-,-,-,-,-
,t+n,-,,-,-,-,-,-,-
